round,date,hour,team1,team2,score1,score2
1,2023-08-11,20:00,Nice,Lille,1,1
1,2023-08-12,16:00,Marseille,Reims,2,1
1,2023-08-12,20:00,Paris SG,Lorient,0,0
1,2023-08-13,12:00,Brest,Lens,3,2
1,2023-08-13,14:00,Clermont,Monaco,2,4
1,2023-08-13,14:00,Montpellier,Le Havre,2,2
1,2023-08-13,14:00,Nantes,Toulouse,1,2
1,2023-08-13,16:05,Rennes,Metz,5,1
1,2023-08-13,19:45,Strasbourg,Lyon,2,1
2,2023-08-18,20:00,Metz,Marseille,2,2
2,2023-08-19,18:00,Lyon,Montpellier,1,4
2,2023-08-19,20:00,Toulouse,Paris SG,1,1
2,2023-08-20,12:00,Lille,Nantes,2,0
2,2023-08-20,14:00,Le Havre,Brest,1,2
2,2023-08-20,14:00,Lorient,Nice,1,1
2,2023-08-20,14:00,Reims,Clermont,2,0
2,2023-08-20,16:05,Monaco,Strasbourg,3,0
2,2023-08-20,19:45,Lens,Rennes,1,1
3,2023-08-25,20:00,Nantes,Monaco,3,3
3,2023-08-26,18:00,Marseille,Brest,2,0
3,2023-08-26,20:00,Paris SG,Lens,3,1
3,2023-08-27,12:00,Rennes,Le Havre,2,2
3,2023-08-27,14:00,Clermont,Metz,0,1
3,2023-08-27,14:00,Montpellier,Reims,1,3
3,2023-08-27,14:00,Strasbourg,Toulouse,2,0
3,2023-08-27,16:05,Lorient,Lille,4,1
3,2023-08-27,19:45,Nice,Lyon,0,0
4,2023-09-01,20:00,Nantes,Marseille,1,1
4,2023-09-02,16:00,Brest,Rennes,0,0
4,2023-09-02,20:00,Monaco,Lens,3,0
4,2023-09-03,12:00,Toulouse,Clermont,2,2
4,2023-09-03,14:00,Le Havre,Lorient,3,0
4,2023-09-03,14:00,Lille,Montpellier,1,0
4,2023-09-03,14:00,Metz,Reims,2,2
4,2023-09-03,16:05,Nice,Strasbourg,2,0
4,2023-09-03,19:45,Lyon,Paris SG,1,4
5,2023-09-15,20:00,Paris SG,Nice,2,3
5,2023-09-16,16:00,Rennes,Lille,2,2
5,2023-09-16,20:00,Lens,Metz,0,1
5,2023-09-17,12:00,Lorient,Monaco,2,2
5,2023-09-17,14:00,Clermont,Nantes,0,1
5,2023-09-17,14:00,Reims,Brest,1,2
5,2023-09-17,14:00,Strasbourg,Montpellier,2,2
5,2023-09-17,16:05,Marseille,Toulouse,0,0
5,2023-09-17,19:45,Lyon,Le Havre,0,0
6,2023-09-22,20:00,Monaco,Nice,0,1
6,2023-09-23,16:00,Nantes,Lorient,5,3
6,2023-09-23,20:00,Brest,Lyon,1,0
6,2023-09-24,12:00,Metz,Strasbourg,0,1
