round,date,hour,team1,team2 ,score1,score2
1,2024-08-16,19:45,Le Havre,Paris SG,1,4
1,17/08/2024,16:00,Brest,Marseille,1,5
1,17/08/2024,18:00,Reims,Lille,0,2
1,17/08/2024,20:00,Monaco,St Etienne,1,0
1,18/08/2024,14:00,Auxerre,Nice,2,1
1,18/08/2024,16:00,Angers,Lens,0,1
1,18/08/2024,16:00,Montpellier,Strasbourg,1,1
1,18/08/2024,16:00,Toulouse,Nantes,0,0
1,18/08/2024,19:45,Rennes,Lyon,3,0
2,23/08/2024,19:45,Paris SG,Montpellier,6,0
2,24/08/2024,16:00,Lyon,Monaco,0,2
2,24/08/2024,18:00,Lille,Angers,2,0
2,24/08/2024,20:00,St Etienne,Le Havre,0,2
2,25/08/2024,14:00,Lens,Brest,2,0
2,25/08/2024,16:00,Nantes,Auxerre,2,0
2,25/08/2024,16:00,Nice,Toulouse,1,1
2,25/08/2024,16:00,Strasbourg,Rennes,3,1
2,25/08/2024,19:45,Marseille,Reims,2,2
3,30/08/2024,19:45,Lyon,Strasbourg,4,3
3,31/08/2024,16:00,Brest,St Etienne,4,0
3,31/08/2024,18:00,Montpellier,Nantes,1,3
3,31/08/2024,20:00,Toulouse,Marseille,1,3
3,01/09/2024,14:00,Monaco,Lens,1,1
3,01/09/2024,16:00,Angers,Nice,1,4
3,01/09/2024,16:00,Le Havre,Auxerre,3,1
3,01/09/2024,16:00,Reims,Rennes,2,1
3,01/09/2024,19:45,Lille,Paris SG,1,3
4,13/09/2024,19:45,St Etienne,Lille,1,0
4,14/09/2024,16:00,Marseille,Nice,2,0
4,14/09/2024,18:00,Auxerre,Monaco,0,3
4,14/09/2024,20:00,Paris SG,Brest,3,1
4,15/09/2024,14:00,Rennes,Montpellier,3,0
4,15/09/2024,16:00,Nantes,Reims,1,2
4,15/09/2024,16:00,Strasbourg,Angers,1,1
4,15/09/2024,16:00,Toulouse,Le Havre,2,0
4,15/09/2024,19:45,Lens,Lyon,0,0
5,20/09/2024,19:45,Nice,St Etienne,8,0
5,21/09/2024,16:00,Lille,Strasbourg,3,3
5,21/09/2024,18:00,Rennes,Lens,1,1
5,21/09/2024,20:00,Reims,Paris SG,1,1
5,22/09/2024,14:00,Monaco,Le Havre,3,1
5,22/09/2024,16:00,Angers,Nantes,1,1
5,22/09/2024,16:00,Brest,Toulouse,2,0
5,22/09/2024,16:00,Montpellier,Auxerre,3,2
5,22/09/2024,19:45,Lyon,Marseille,2,3
6,27/09/2024,18:00,Auxerre,Brest,3,0
6,27/09/2024,20:00,Paris SG,Rennes,3,1
6,28/09/2024,16:00,Lens,Nice,0,0
6,28/09/2024,18:00,Le Havre,Lille,0,3
6,28/09/2024,20:00,Monaco,Montpellier,2,1
6,29/09/2024,14:00,Toulouse,Lyon,1,2
6,29/09/2024,16:00,Angers,Reims,1,3
6,29/09/2024,16:00,Nantes,St Etienne,2,2
6,29/09/2024,19:45,Strasbourg,Marseille,1,0
7,04/10/2024,19:45,Marseille,Angers,1,1
7,05/10/2024,16:00,St Etienne,Auxerre,3,1
7,05/10/2024,18:00,Lille,Toulouse,2,1
7,05/10/2024,20:00,Rennes,Monaco,1,2
7,06/10/2024,14:00,Lyon,Nantes,2,0
7,06/10/2024,16:00,Brest,Le Havre,2,0
7,06/10/2024,16:00,Reims,Montpellier,4,2
7,06/10/2024,16:00,Strasbourg,Lens,2,2
7,06/10/2024,19:45,Nice,Paris SG,1,1
8,18/10/2024,19:45,Monaco,Lille,0,0
8,19/10/2024,16:00,Brest,Rennes,1,1
8,19/10/2024,18:00,St Etienne,Lens,0,2
8,19/10/2024,20:00,Paris SG,Strasbourg,4,2
8,20/10/2024,14:00,Le Havre,Lyon,0,4
8,20/10/2024,16:00,Auxerre,Reims,2,1
8,20/10/2024,16:00,Nantes,Nice,1,1
8,20/10/2024,16:00,Toulouse,Angers,1,1
8,20/10/2024,19:45,Montpellier,Marseille,0,5
9,25/10/2024,19:45,Rennes,Le Havre,1,0
9,26/10/2024,16:00,Angers,St Etienne,4,2
9,26/10/2024,18:00,Reims,Brest,1,2
9,26/10/2024,20:00,Lens,Lille,0,2
9,27/10/2024,14:00,Lyon,Auxerre,2,2
9,27/10/2024,16:00,Montpellier,Toulouse,0,3
9,27/10/2024,16:00,Nice,Monaco,2,1
9,27/10/2024,16:00,Strasbourg,Nantes,3,1
9,27/10/2024,19:45,Marseille,Paris SG,0,3
10,01/11/2024,18:00,Monaco,Angers,0,1
10,01/11/2024,20:00,Lille,Lyon,1,1
10,02/11/2024,16:00,Paris SG,Lens,1,0
10,02/11/2024,18:00,Brest,Nice,0,1
10,02/11/2024,20:00,St Etienne,Strasbourg,2,0
10,03/11/2024,14:00,Toulouse,Reims,1,0
10,03/11/2024,16:00,Auxerre,Rennes,4,0
10,03/11/2024,16:00,Le Havre,Montpellier,1,0
10,03/11/2024,19:45,Nantes,Marseille,1,2
11,08/11/2024,19:45,Marseille,Auxerre,1,3
11,09/11/2024,16:00,Strasbourg,Monaco,1,3
11,09/11/2024,18:00,Lens,Nantes,3,2
11,09/11/2024,20:00,Angers,Paris SG,2,4
11,10/11/2024,14:00,Nice,Lille,2,2
11,10/11/2024,16:00,Le Havre,Reims,0,3
11,10/11/2024,16:00,Montpellier,Brest,3,1
11,10/11/2024,16:00,Rennes,Toulouse,0,2
11,10/11/2024,19:45,Lyon,St Etienne,1,0
12,22/11/2024,18:00,Monaco,Brest,3,2
12,22/11/2024,20:00,Paris SG,Toulouse,3,0
12,23/11/2024,16:00,Lens,Marseille,1,3
12,23/11/2024,18:00,St Etienne,Montpellier,1,0
12,23/11/2024,20:00,Reims,Lyon,1,1
12,24/11/2024,14:00,Lille,Rennes,1,0
12,24/11/2024,16:00,Auxerre,Angers,1,0
12,24/11/2024,16:00,Nantes,Le Havre,0,2
12,24/11/2024,19:45,Nice,Strasbourg,2,1
13,29/11/2024,19:45,Reims,Lens,0,2
13,30/11/2024,16:00,Rennes,St Etienne,5,0
13,30/11/2024,18:00,Brest,Strasbourg,3,1
13,30/11/2024,20:00,Paris SG,Nantes,1,1
13,01/12/2024,14:00,Montpellier,Lille,2,2
13,01/12/2024,16:00,Le Havre,Angers,0,1
13,01/12/2024,16:00,Lyon,Nice,4,1
13,01/12/2024,16:00,Toulouse,Auxerre,2,0
13,01/12/2024,19:45,Marseille,Monaco,2,1
14,06/12/2024,18:00,Lille,Brest,3,1
14,06/12/2024,20:00,Auxerre,Paris SG,0,0
14,07/12/2024,16:00,Monaco,Toulouse,2,0
14,07/12/2024,18:00,Nice,Le Havre,2,1
14,07/12/2024,20:00,Angers,Lyon,0,3
14,08/12/2024,14:00,Lens,Montpellier,2,0
14,08/12/2024,16:00,Nantes,Rennes,1,0
14,08/12/2024,16:00,Strasbourg,Reims,0,0
14,08/12/2024,19:45,St Etienne,Marseille,0,2
15,13/12/2024,19:45,Toulouse,St Etienne,2,1
15,14/12/2024,16:00,Marseille,Lille,1,1
15,14/12/2024,18:00,Auxerre,Lens,2,2
15,14/12/2024,20:00,Reims,Monaco,0,0
15,15/12/2024,14:00,Montpellier,Nice,2,2
15,15/12/2024,16:00,Brest,Nantes,4,1
15,15/12/2024,16:00,Le Havre,Strasbourg,0,3
15,15/12/2024,16:00,Rennes,Angers,2,0
15,15/12/2024,19:45,Paris SG,Lyon,3,1
