Journée,date,hour,team1,team2,score1,score2
Journée 1,05/08/22,,Lyon,Ajaccio,2,1
Journée 1,06/08/22,,Strasbourg,Monaco,1,2
Journée 1,06/08/22,,Clermont,Paris-SG,0,5
Journée 1,07/08/22,,Toulouse,Nice,1,1
Journée 1,07/08/22,,Angers,Nantes,0,0
Journée 1,07/08/22,,Lille,Auxerre,4,1
Journée 1,07/08/22,,Montpellier,Troyes,3,2
Journée 1,07/08/22,,Lens,Brest,3,2
Journée 1,07/08/22,,Rennes,Lorient,0,1
Journée 1,07/08/22,,Marseille,Reims,4,1
Journée 2,12/08/22,,Nantes,Lille,1,1
Journée 2,13/08/22,,Monaco,Rennes,1,1
Journée 2,13/08/22,,Paris-SG,Montpellier,5,2
Journée 2,14/08/22,,Ajaccio,Lens,0,0
Journée 2,14/08/22,,Auxerre,Angers,2,2
Journée 2,14/08/22,,Troyes,Toulouse,0,3
Journée 2,14/08/22,,Reims,Clermont,2,4
Journée 2,14/08/22,,Nice,Strasbourg,1,1
Journée 2,14/08/22,,Brest,Marseille,1,1
Journée 2,14/08/22,,Lorient,Lyon,3,1
Journée 3,19/08/22,,Lyon,Troyes,4,1
Journée 3,20/08/22,,Monaco,Lens,1,4
Journée 3,20/08/22,,Marseille,Nantes,2,1
Journée 3,21/08/22,,Strasbourg,Reims,1,1
Journée 3,21/08/22,,Angers,Brest,1,3
Journée 3,21/08/22,,Clermont,Nice,1,0
Journée 3,21/08/22,,Montpellier,Auxerre,1,2
Journée 3,21/08/22,,Toulouse,Lorient,2,2
Journée 3,21/08/22,,Rennes,Ajaccio,2,1
Journée 3,21/08/22,,Lille,Paris-SG,1,7
Journée 4,26/08/22,,Ajaccio,Lille,1,3
Journée 4,27/08/22,,Auxerre,Strasbourg,1,0
Journée 4,27/08/22,,Lens,Rennes,2,1
Journée 4,28/08/22,,Nantes,Toulouse,3,1
Journée 4,28/08/22,,Troyes,Angers,3,1
Journée 4,28/08/22,,Lorient,Clermont,2,1
Journée 4,28/08/22,,Nice,Marseille,0,3
Journée 4,28/08/22,,Brest,Montpellier,0,7
Journée 4,28/08/22,,Reims,Lyon,1,1
Journée 4,28/08/22,,Paris-SG,Monaco,1,1
Journée 5,31/08/22,,Angers,Reims,2,4
Journée 5,01/09/22,,Monaco,Troyes,2,4
Journée 5,01/09/22,,Montpellier,Ajaccio,2,0
Journée 5,01/09/22,,Lyon,Auxerre,2,1
Journée 5,01/09/22,,Strasbourg,Nantes,1,1
Journée 5,01/09/22,,Lille,Nice,1,2
Journée 5,01/09/22,,Marseille,Clermont,1,0
Journée 5,01/09/22,,Lens,Lorient,5,2
Journée 5,01/09/22,,Rennes,Brest,3,1
Journée 5,01/09/22,,Toulouse,Paris-SG,0,3
Journée 6,03/09/22,,Auxerre,Marseille,0,2
Journée 6,03/09/22,,Lyon,Angers,5,0
Journée 6,03/09/22,,Nantes,Paris-SG,0,3
Journée 6,04/09/22,,Montpellier,Lille,1,3
Journée 6,04/09/22,,Ajaccio,Lorient,0,1
Journée 6,04/09/22,,Clermont,Toulouse,2,0
Journée 6,04/09/22,,Brest,Strasbourg,1,1
Journée 6,04/09/22,,Reims,Lens,1,1
Journée 6,04/09/22,,Troyes,Rennes,1,1
Journée 6,04/09/22,,Nice,Monaco,0,1
Journée 7,09/09/22,,Lens,Troyes,1,0
Journée 7,10/09/22,,Paris-SG,Brest,1,0
Journée 7,10/09/22,,Marseille,Lille,2,1
Journée 7,11/09/22,,Strasbourg,Clermont,0,0
Journée 7,11/09/22,,Ajaccio,Nice,0,1
Journée 7,11/09/22,,Angers,Montpellier,2,1
Journée 7,11/09/22,,Lorient,Nantes,3,2
Journée 7,11/09/22,,Toulouse,Reims,1,0
Journée 7,11/09/22,,Rennes,Auxerre,5,0
Journée 7,11/09/22,,Monaco,Lyon,2,1
Journée 8,16/09/22,,Auxerre,Lorient,1,3
Journée 8,17/09/22,,Montpellier,Strasbourg,2,1
Journée 8,18/09/22,,Lille,Toulouse,2,1
Journée 8,18/09/22,,Reims,Monaco,0,3
Journée 8,18/09/22,,Clermont,Troyes,1,3
Journée 8,18/09/22,,Nice,Angers,0,1
Journée 8,18/09/22,,Marseille,Rennes,1,1
Journée 8,18/09/22,,Brest,Ajaccio,0,1
Journée 8,18/09/22,,Nantes,Lens,0,0
Journée 8,18/09/22,,Lyon,Paris-SG,0,1
Journée 9,30/09/22,,Angers,Marseille,0,3
Journée 9,01/10/22,,Strasbourg,Rennes,1,3
Journée 9,01/10/22,,Paris-SG,Nice,2,1
Journée 9,02/10/22,,Lorient,Lille,2,1
Journée 9,02/10/22,,Ajaccio,Clermont,1,3
Journée 9,02/10/22,,Auxerre,Brest,1,1
Journée 9,02/10/22,,Troyes,Reims,2,2
Journée 9,02/10/22,,Toulouse,Montpellier,4,2
Journée 9,02/10/22,,Monaco,Nantes,4,1
Journée 9,02/10/22,,Lens,Lyon,1,0
Journée 10,07/10/22,,Lyon,Toulouse,1,1
Journée 10,08/10/22,,Marseille,Ajaccio,1,2
Journée 10,09/10/22,,Reims,Paris-SG,0,0
Journée 10,09/10/22,,Montpellier,Monaco,0,2
Journée 10,09/10/22,,Angers,Strasbourg,2,3
Journée 10,09/10/22,,Clermont,Auxerre,2,1
Journée 10,09/10/22,,Nice,Troyes,3,2
Journée 10,09/10/22,,Brest,Lorient,1,2
Journée 10,09/10/22,,Rennes,Nantes,3,0
Journée 10,09/10/22,,Lille,Lens,1,0
Journée 11,14/10/22,,Strasbourg,Lille,0,3
Journée 11,15/10/22,,Lorient,Reims,0,0
Journée 11,16/10/22,,Lens,Montpellier,1,0
Journée 11,16/10/22,,Toulouse,Angers,3,2
Journée 11,16/10/22,,Auxerre,Nice,1,1
Journée 11,16/10/22,,Troyes,Ajaccio,1,1
Journée 11,16/10/22,,Nantes,Brest,4,1
Journée 11,16/10/22,,Rennes,Lyon,3,2
Journée 11,16/10/22,,Monaco,Clermont,1,1
Journée 11,16/10/22,,Paris-SG,Marseille,1,0
Journée 12,21/10/22,,Ajaccio,Paris-SG,0,3
Journée 12,22/10/22,,Montpellier,Lyon,1,2
Journée 12,22/10/22,,Marseille,Lens,0,1
Journée 12,23/10/22,,Angers,Rennes,1,2
Journée 12,23/10/22,,Clermont,Brest,1,3
Journée 12,23/10/22,,Troyes,Lorient,2,2
Journée 12,23/10/22,,Reims,Auxerre,2,1
Journée 12,23/10/22,,Toulouse,Strasbourg,2,2
Journée 12,23/10/22,,Nice,Nantes,1,1
Journée 12,23/10/22,,Lille,Monaco,4,3
Journée 13,28/10/22,,Lens,Toulouse,3,0
Journée 13,29/10/22,,Paris-SG,Troyes,4,3
Journée 13,30/10/22,,Strasbourg,Marseille,2,2
Journée 13,30/10/22,,Auxerre,Ajaccio,1,0
Journée 13,30/10/22,,Monaco,Angers,2,0
Journée 13,30/10/22,,Nantes,Clermont,1,1
Journée 13,30/10/22,,Brest,Reims,0,0
Journée 13,30/10/22,,Rennes,Montpellier,3,0
Journée 13,30/10/22,,Lorient,Nice,1,2
Journée 13,30/10/22,,Lyon,Lille,1,0
Journée 14,04/11/22,,Troyes,Auxerre,1,1
Journée 14,05/11/22,,Ajaccio,Strasbourg,4,2
Journée 14,06/11/22,,Angers,Lens,1,2
Journée 14,06/11/22,,Lorient,Paris-SG,1,2
Journée 14,06/11/22,,Clermont,Montpellier,1,1
Journée 14,06/11/22,,Nice,Brest,1,0
Journée 14,06/11/22,,Reims,Nantes,1,0
Journée 14,06/11/22,,Toulouse,Monaco,0,2
Journée 14,06/11/22,,Lille,Rennes,1,1
Journée 14,06/11/22,,Marseille,Lyon,1,0
Journée 15,11/11/22,,Lyon,Nice,1,1
Journée 15,12/11/22,,Lens,Clermont,2,1
Journée 15,13/11/22,,Rennes,Toulouse,2,1
Journée 15,13/11/22,,Paris-SG,Auxerre,5,0
Journée 15,13/11/22,,Nantes,Ajaccio,2,2
Journée 15,13/11/22,,Lille,Angers,1,0
Journée 15,13/11/22,,Montpellier,Reims,1,1
Journée 15,13/11/22,,Brest,Troyes,2,1
Journée 15,13/11/22,,Strasbourg,Lorient,1,1
Journée 15,13/11/22,,Monaco,Marseille,2,3
Journée 16,28/12/22,,Ajaccio,Angers,1,0
Journée 16,28/12/22,,Troyes,Nantes,0,0
Journée 16,28/12/22,,Auxerre,Monaco,2,3
Journée 16,28/12/22,,Clermont,Lille,0,2
Journée 16,28/12/22,,Paris-SG,Strasbourg,2,1
Journée 16,28/12/22,,Brest,Lyon,2,4
Journée 16,29/12/22,,Lorient,Montpellier,0,2
Journée 16,29/12/22,,Reims,Rennes,3,1
Journée 16,29/12/22,,Nice,Lens,0,0
Journée 16,29/12/22,,Marseille,Toulouse,6,1
Journée 17,01/01/23,,Angers,Lorient,1,2
Journée 17,01/01/23,,Monaco,Brest,1,0
Journée 17,01/01/23,,Nantes,Auxerre,1,0
Journée 17,01/01/23,,Toulouse,Ajaccio,2,0
Journée 17,01/01/23,,Lyon,Clermont,0,1
Journée 17,01/01/23,,Lens,Paris-SG,3,1
Journée 17,02/01/23,,Strasbourg,Troyes,2,3
Journée 17,02/01/23,,Lille,Reims,1,1
Journée 17,02/01/23,,Montpellier,Marseille,1,2
Journée 17,02/01/23,,Rennes,Nice,2,1
Journée 18,11/01/23,,Ajaccio,Reims,0,1
Journée 18,11/01/23,,Auxerre,Toulouse,0,5
Journée 18,11/01/23,,Clermont,Rennes,2,1
Journée 18,11/01/23,,Nantes,Lyon,0,0
Journée 18,11/01/23,,Brest,Lille,0,0
Journée 18,11/01/23,,Troyes,Marseille,0,2
Journée 18,11/01/23,,Lorient,Monaco,2,2
Journée 18,11/01/23,,Nice,Montpellier,6,1
Journée 18,11/01/23,,Paris-SG,Angers,2,0
Journée 18,11/01/23,,Strasbourg,Lens,2,2
Journée 19,14/01/23,,Lens,Auxerre,1,0
Journée 19,14/01/23,,Marseille,Lorient,3,1
Journée 19,15/01/23,,Lyon,Strasbourg,1,2
Journée 19,15/01/23,,Lille,Troyes,5,1
Journée 19,15/01/23,,Angers,Clermont,1,2
Journée 19,15/01/23,,Montpellier,Nantes,0,3
Journée 19,15/01/23,,Reims,Nice,0,0
Journée 19,15/01/23,,Toulouse,Brest,1,1
Journée 19,15/01/23,,Monaco,Ajaccio,7,1
Journée 19,15/01/23,,Rennes,Paris-SG,1,0
Journée 20,27/01/23,,Lorient,Rennes,2,1
Journée 20,28/01/23,,Troyes,Lens,1,1
Journée 20,28/01/23,,Marseille,Monaco,1,1
Journée 20,29/01/23,,Nice,Lille,1,0
Journée 20,29/01/23,,Auxerre,Montpellier,0,2
Journée 20,29/01/23,,Clermont,Nantes,0,0
Journée 20,29/01/23,,Strasbourg,Toulouse,1,2
Journée 20,29/01/23,,Brest,Angers,4,0
Journée 20,29/01/23,,Ajaccio,Lyon,0,2
Journée 20,29/01/23,,Paris-SG,Reims,1,1
Journée 21,01/02/23,,Angers,Ajaccio,1,2
Journée 21,01/02/23,,Nantes,Marseille,0,2
Journée 21,01/02/23,,Lille,Clermont,0,0
Journée 21,01/02/23,,Reims,Rennes,4,2
Journée 21,01/02/23,,Toulouse,Troyes,4,1
Journée 21,01/02/23,,Monaco,Auxerre,3,2
Journée 21,01/02/23,,Montpellier,Paris-SG,1,3
Journée 21,01/02/23,,Lyon,Brest,0,0
Journée 21,01/02/23,,Lens,Nice,0,1
Journée 21,01/02/23,,Rennes,Strasbourg,3,0
Journée 22,04/02/23,,Paris-SG,Toulouse,2,1
Journée 22,04/02/23,,Troyes,Lyon,1,3
Journée 22,04/02/23,,Rennes,Lille,1,3
Journée 22,05/02/23,,Clermont,Monaco,0,2
Journée 22,05/02/23,,Ajaccio,Nantes,0,2
Journée 22,05/02/23,,Auxerre,Reims,0,0
Journée 22,05/02/23,,Lorient,Angers,0,0
Journée 22,05/02/23,,Strasbourg,Montpellier,2,0
Journée 22,05/02/23,,Brest,Lens,1,1
Journée 22,05/02/23,,Marseille,Nice,1,3
Journée 23,10/02/23,,Nice,Ajaccio,3,0
Journée 23,11/02/23,,Monaco,Paris-SG,3,1
Journée 23,12/02/23,,Clermont,Marseille,0,2
Journée 23,12/02/23,,Toulouse,Rennes,3,1
Journée 23,12/02/23,,Angers,Auxerre,1,1
Journée 23,12/02/23,,Lille,Strasbourg,2,0
Journée 23,12/02/23,,Montpellier,Brest,3,0
Journée 23,12/02/23,,Reims,Troyes,4,0
Journée 23,12/02/23,,Nantes,Lorient,1,0
Journée 23,12/02/23,,Lyon,Lens,2,1
Journée 24,17/02/23,,Auxerre,Lyon,2,1
Journée 24,18/02/23,,Nice,Reims,0,0
Journée 24,19/02/23,,Strasbourg,Angers,2,1
Journée 24,19/02/23,,Paris-SG,Lille,4,3
Journée 24,19/02/23,,Troyes,Montpellier,0,1
Journée 24,19/02/23,,Lorient,Ajaccio,3,0
Journée 24,19/02/23,,Brest,Monaco,1,2
Journée 24,19/02/23,,Rennes,Clermont,2,0
Journée 24,19/02/23,,Lens,Nantes,3,1
Journée 24,19/02/23,,Toulouse,Marseille,2,3
Journée 25,24/02/23,,Lille,Brest,2,1
Journée 25,25/02/23,,Angers,Lyon,1,3
Journée 25,26/02/23,,Montpellier,Lens,1,1
